start	end	text
2.290	6.290	 Ya, ve, a conducir. ¿Qué hora es? Apúrate.
6.290	9.290	 Es que eres tan hermosa que no me canso de verte.
9.290	14.970	 Debo apurarme.
14.970	16.970	 Cerrarán la oficina de vivienda.
16.970	66.940	 Despierta, cerdita.
66.940	68.940	 Dormiste después de comer.
68.940	70.940	 Pareces una cerdita.
70.940	72.940	 Es que aquí se está también.
72.940	75.940	 Me dio sueño tras la fruta.
75.940	77.940	 Ya estamos en la ciudad, por supuesto.
77.940	79.940	 Compré carbón y dos estufas.
79.940	81.940	 Una para cada habitación.
81.940	83.940	 Así mis padres estarán calientitos.
83.940	85.940	 Vamos afuera ya.
85.940	87.940	 No puedo esperar.
87.940	89.940	 Quiero ver cómo quedó nuestro patio.
89.940	91.940	 Segura que quieres salir con falda.
91.940	93.940	 Con las piernas al aire.
93.940	95.940	 Hace muchísimo frío.
95.940	97.940	 Te vas a congelar.
97.940	99.940	 Ay, lo olvidé.
99.940	101.940	 Espérame tantito.
101.940	103.940	 Me voy a cambiar.
103.940	107.500	 Por cierto, saca otro colchón.
107.500	116.670	 Es muy cómodo dormir así.
116.670	120.850	 Está bien.
120.850	122.850	 El patio.
122.850	124.850	 Este diseño de ladrillos.
124.850	126.850	 Se ve mejor que el que tenía en Pekín.
126.850	128.850	 Y este árbol grande.
128.850	130.850	 Podremos descansar bajo su sombra en verano.
130.850	132.850	 Me alegra que te busque.
132.850	134.850	 Vamos, arreglemos la casa.
134.850	136.850	 Sí, vamos.
136.850	138.850	 Iré al super por palancanas y toallas.
138.850	140.850	 Limpia, el polvo.
140.850	148.700	 Yo instalaré los colchones y la estufa.
148.700	150.700	 Qué bien se siente.
150.700	152.700	 Por fin tenemos nuestro propio hogar.
152.700	154.700	 Ahora Duoduo
154.700	156.700	 Este patio tan grande.
156.700	158.700	 Ya no viviremos apretados en esa casa de tierra.
158.700	160.700	 Coman rápido.
160.700	162.700	 Llevo dos años sin probar carne.
162.700	164.700	 El nuevo comprador es un genio.
164.700	166.700	 En plena crisis.
166.700	168.700	 Consigue carne de donde sea.
168.700	170.700	 Es increíble.
170.700	172.700	 Así es.
172.700	174.700	 Es nuestro nuevo comprador.
174.700	176.700	 Kao Xin Yan es su nombre.
176.700	178.700	 Ese chico tiene mucho talento.
178.700	180.700	 Tiene canales de suministro de sobra.
180.700	182.700	 Escuchen todos.
182.700	184.700	 Se lo llevarán.
184.700	186.700	 Y nunca más comerán carne.
186.700	188.700	 Al que se le escape una palabra.
188.700	190.700	 Se las verá con todos nosotros.
190.700	192.700	 No se preocupen, maestro Su.
192.700	198.480	 Seremos una tumba.
198.480	200.480	 Jajajaja.
200.480	202.480	 Coman, coman mucho.
202.480	204.480	 Jajaja, coman.
204.480	214.540	 A darle.
214.540	216.540	 Jajaja.
216.540	218.540	 Ay, después de dos años.
218.540	220.540	 Por fin volví a probar carne.
220.540	222.540	 Qué sabor tan rico.
222.540	224.540	 Ten bien vigilado a ese comprador.
224.540	226.540	 Que no lo roben otras fábricas.
226.540	228.540	 Es un tesoro para la planta.
230.540	232.540	 Descuide, director.
232.540	234.540	 Lo tengo bajo control.
234.540	236.540	 Ya les advertía todos en la fábrica.
236.540	238.540	 Nadie puede hablar de Kao Xin Yan.
238.540	240.540	 Amor, ya terminamos aquí.
240.540	242.540	 Cuando traigamos a Duoduo.
242.540	244.540	 Esforcémonos para tener otro bebé.
244.540	246.540	 Duoduo se sentirá muy sola si crece así.
246.540	248.540	 Antes, con tanta hambre,
248.540	250.540	 ni podíamos pensarlo.
250.540	252.540	 Antes, podíamos beber agua.
252.540	254.540	 Verla llorar de hambre a diario.
254.540	256.540	 Me rompía el corazón.
256.540	258.540	 Qué bien, esposa.
258.540	260.540	 Eres maravillosa.
260.540	262.540	 Ahora con el super.
262.540	264.540	 No solo uno.
264.540	266.540	 Podemos tener dos sin problemas.
266.540	271.810	 Llegó.
271.810	273.810	 Llegó.
273.810	275.810	 Viejo Liu, ya llegó.
275.810	277.810	 Joven, ya me enteré de todo.
277.810	279.810	 La carne de la fábrica, la trajiste tú.
279.810	281.810	 Eres increíble.
281.810	283.810	 Viejo Liu, cómo supo que fui yo.
283.810	285.810	 No tienes idea.
285.810	287.810	 En la cafetería, casi se matan por servir.
287.810	289.810	 Todos empujándose por una ración.
289.810	291.810	 Me costó trabajo alcanzar.
291.810	293.810	 Por eso llegué tarde.
293.810	295.810	 Menos mal que no pedí permiso.
295.810	297.810	 Y pude comer carne.
297.810	299.810	 Descuide, Viejo Liu.
299.810	301.810	 Mientras yo esté aquí.
301.810	303.810	 Siempre habrá carne en la fábrica.
303.810	305.810	 Perfecto, vamos.
305.810	307.810	 Primero al comité por el documento.
307.810	309.810	 Y luego a la oficina de vivienda.
309.810	311.810	 Por cierto, Viejo Liu.
311.810	313.810	 Carguemos sus seis costales de grano a la carreta.
313.810	315.810	 Se los dejo de camino tras el trámite.
315.810	317.810	 Muchas gracias, muchacho.
317.810	325.020	 Todo esto es arroz.
325.020	327.020	 Y de dónde sacaste pepinos y jitomates.
327.020	329.020	 Son muy difíciles de conseguir.
329.020	331.020	 No todo es arroz.
331.020	333.020	 Hay algunos de harina de trigo.
333.020	335.020	 Los vegetales, los conseguí en el tren del sur.
335.020	337.020	 No hay mucho para consumo personal.
337.020	339.020	 Muchacho.
339.020	341.020	 Cambiaré cuatro costales de arroz.
341.020	343.020	 Y dos de trigo.
343.020	345.020	 Bien.
345.020	369.420	 Sin prisa.
369.420	371.420	 Ya se van.
371.420	373.420	 No se quedan otro rato.
373.420	378.240	 No, tío Liu. Tenemos que volver.
378.240	380.240	 Mírate, qué feliz estás.
380.240	382.240	 Es solo un papel de la casa.
382.240	388.590	 Pero es nuestro hogar.
388.590	390.590	 Este es nuestro nuevo hogar.
390.590	392.590	 Ya sé. Entremos ya.
392.590	394.590	 Hace mucho frío.
394.590	396.590	 No quiero que te resfries.
396.590	398.590	 Dwegwe, deja de ver la casa.
398.590	400.590	 Es tarde. No tienes hambre.
400.590	402.590	 Iré por unos panecillos.
402.590	404.590	 Comemos y volvemos al pueblo.
404.590	406.590	 Xiaoyan,
406.590	408.590	 instalemos la estufa.
408.590	410.590	 Comeremos adentro. Será más cálido.
410.590	424.880	 Muy bien. Lo que tú digas.
424.880	438.110	 Salgo un momento.
438.110	440.110	 Hola, pequeña.
440.110	442.110	 ¿De dónde vienes?
442.110	444.110	 Traes un gatito.
444.110	446.110	 Hola, señor.
446.110	448.110	 Soy su vecina.
448.110	450.110	 Me llamo Lin Tiki.
450.110	452.110	 ¿Qué están cocinando?
452.110	454.110	 Huele delicioso pollo guisado.
454.110	456.110	 ¿Quieres entrar a comer un poco?
456.110	458.110	 Nos acabamos de mudar hoy, señor.
458.110	460.110	 Mi esposa está cocinando adentro.
460.110	462.110	 Quiero pollo.
464.110	466.110	 Vamos, entremos.
466.110	474.060	 Hola, pequeña.
474.060	476.060	 Qué linda eres.
476.060	478.060	 Hola, señora.
478.060	480.060	 Es la hija de los vecinos.
480.060	482.060	 El olor del pollo la trajo al patio.
482.060	484.060	 La invite a pasar.
484.060	486.060	 Comamos juntos.
486.060	508.130	 Jajaja.
508.130	510.130	 Tiki sigue comiendo.
510.130	512.130	 Iré a avisarle a tu madre.
512.130	527.020	 Hola, vecina.
527.020	529.020	 Nos acabamos de mudar.
529.020	531.020	 Tiki está comiendo de aquí.
531.020	533.020	 No se preocupe.
533.020	535.020	 Qué susto me dio.
535.020	537.020	 Disculpe las molestias.
537.020	539.020	 Esta niña corre mucho.
539.020	541.020	 Hace un momento estaba aquí.
541.020	550.290	 Y desapareció con su gato en un segundo.
550.290	552.290	 Guanz.
552.290	554.290	 Hola, vecina.
554.290	556.290	 Estamos de mudanos.
556.290	558.290	 Soy caucinian.
558.290	560.290	 Comprador en la fábrica textil.
560.290	562.290	 Ella es mi esposa.
562.290	564.290	 Mucho gusto, mucho gusto.
564.290	566.290	 Soy Guanz.
566.290	568.290	 Mi esposo y yo somos maestros en la primaria del parque.
568.290	570.290	 Vivimos al lado.
570.290	572.290	 Ya somos vecinos.
572.290	574.290	 Cualquier cosa, avíseme.
574.290	576.290	 Vecina, vecina.
576.290	578.290	 Mi hija tiene cinco años.
578.290	580.290	 Puede estudiar en su escuela.
580.290	582.290	 Claro, al tener registro citadino.
582.290	584.290	 Años entra a nivel intermedio.
584.290	586.290	 Cuatro años nivel inicial.
586.290	588.290	 Cinco, intermedio, seis avanzado.
588.290	590.290	 La colegiatura es de ocho yuanes.
590.290	592.290	 Estamos muy cerca.
592.290	594.290	 Pueden recogerla para comer al mediodía.
594.290	597.920	 Es muy cómodo.
597.920	599.920	 Los dejo seguir con su comida.
599.920	601.920	 Acomódense en su nueva casa.
601.920	603.920	 Para la inscripción de la niña.
603.920	605.920	 Busquen mi casa.
