start	end	text
0.000	6.360	 a la carretilla. Yo te llevo. Papá, ¿cómo voy a subirme? No hay lógica en que el padre
6.360	20.480	 jale y el hijo se siente. Vamos caminando. Por fin llegaron. Mi hermana y yo estábamos
20.480	26.940	 desesperadas. Xiaoyan, conseguiste todo. Mamá, hermana, conseguí todo. Entremos
26.940	34.900	 y hablamos. El frío de afuera es insoportable. Ya llegaron. Está la medicina. Vendieron
34.900	43.420	 la carne. Todo listo. Beban algo para entrar en calor. Hermana, esta es la medicina. Cuatro
43.420	49.420	 tabletas por vez, dos veces al día. Y este jarabe. Si tosen mucho, un traidor. Si no
49.420	59.370	 mejora con esto, iré por más. Gracias, hermano, por mi esposo. No agradezcas.
59.370	63.570	 Somos familia. Aunque te hayas casado, si eres siendo mi hermana mayor, ya tenemos
64.530	69.770	 y nos sobraron 60 yuanes. Nada mal. Mañana les haré panes de maíz. ¿Quién dijo que
69.770	76.290	 solo quedaron 60? Fueron 100. Ay, de tanto hablar. Olvide traer el grano de la carretilla.
76.290	82.820	 Iré por él. Papá, jalaste toda la noche. Descansa. ¿Por qué no compraste
82.820	87.580	 grano como un hijo? El arroz fino es muy caro. Habrías comprado dos costales
87.580	91.540	 del otro mamá. Ya no había en el negado. Todo se vendió. Además, el arroz está
91.540	95.540	 bien. Podremos comerlo en año nuevo. No pasa nada. Cuando se acabe, iré al río.
95.540	98.820	 Poneré el hielo y pescaré más para cambiar por comida. No faltará el grano. Mira que
98.820	103.540	 soy olvidadiza. Ya ni me acordaba de eso. Bueno, ya. Ustedes dos trasnocharon. Váyanse
103.540	108.860	 a dormir. En unas horas amanece. Yer, ve a descansar al cuarto de Beibei. Desayunamos
108.860	116.700	 al amanecer. No hace falta correr. Está bien. Iré por Duobo. Hija, no la
117.700	125.700	 muevas. Se va a enfermar de frío. Y toma estos 60 yuanes. Cuárdalos bien. Los ganó
125.700	131.700	 Xiaoyan. Mamá, cuárdalos tú. Compra lo que haga falta en casa. Si los tengo
131.700	136.700	 yo, no sabré en mí qué comprar. Está bien. Entonces, mañana para los 20 que
136.700	141.700	 debíamos. Hay que devolver los favores. Así se mantiene la confianza. Bien.
141.700	169.360	 Qué bien se está en casa. Esposa. Falta poco más de un mes para año nuevo. Después
169.360	174.360	 de las fiestas, te llevaré a visitar a tus padres. Te fuiste a los 16 y no has
174.360	180.360	 vuelto. Debes extrañarlos. De verdad, me llevarás después de año nuevo. Claro,
180.360	186.360	 llevas años lejos. ¿Qué dije? No extraña a sus padres. Como la hermana menor que
186.360	191.360	 no quiere separarse de ellos. Cuando quieras ver a tus suegros, te llevaré.
191.360	198.360	 Sí. Hermano, levántate a comer. Ya terminamos. Rayos, me quedé dormido.
198.360	206.790	 Coman, coman. Ya alimenté a la pequeña tuoduo. Está jugando con la hermana menor.
206.790	217.010	 Y papá, ¿por qué no lo veo? Voy a dejar a mi hermana con un trozo de
217.010	222.010	 cordero y los 20 yuanes. Aprovecho para pagar la deuda. Por fin estamos
222.010	227.010	 libres de deudas. Ya no hay presión. Solo de pensarlo me da gusto. La
227.010	238.630	 familia de mi cuñado realmente nos ayudó mucho en estos tiempos.
241.630	245.630	 Hermanita, ustedes dos, ¿por qué juegan con un ovillo de lana? Es que no hay
245.630	249.630	 nada más que hacer. Hace tanto frío afuera. Salir es peligroso.
250.630	254.630	 Papá, no estoy jugando. Es la tía, la que juega sola.
255.630	258.630	 Cierto. Nuestra dobo solo le sigue el juego.
258.630	263.630	 Hermano, ¿por qué eres así? Bueno, ya no las molesto. A mediodía, si calienta
263.630	266.630	 el sol, iré a la ciudad. ¿Quieres que te compre algo?
266.630	270.010	 Está bien, iré a la ciudad.
270.010	272.010	 Te compraré un par de zapatos.
272.010	277.010	 Hermano, ¿no le diste todo el dinero a mamá ayer? ¿De dónde sacarás?
